description,equipment_type,vendor,cost,last_cal_date,next_cal_date,area,status,source
Time Output Module,DATA ACQUISITION,DTS,5700.0,2023-12-06,2026-12-06,Test Lab,Active,Calibration
Rack System,DATA ACQUISITION,DTS,1700.0,2024-02-27,2027-02-27,Test Lab,Active,Calibration
Time Output Module,DATA ACQUISITION,DTS,5700.0,2024-03-04,2027-03-04,Test Lab,Active,Calibration
Micro Meter,OTHERS,Sendi Mahir,54.0,2024-08-02,2026-08-02,Test Lab,Active,Calibration
TL 12 (Dust),PRESSURE,Multitech,72.9,2024-08-21,2026-08-21,Safety,p.gauge,Pressure Gauge
TL 18 (P.Gauge at Salt Spray),PRESSURE,Multitech,72.9,2024-08-21,2026-08-21,Safety,p.gauge,Pressure Gauge
Accelerometer,ACCELEROMETER,Autoliv Sweden AB,500.0,2024-09-24,2026-09-24,Test Lab,Active,Calibration
VC Accelerometer,ACCELEROMETER,Autoliv Sweden AB,500.0,2024-09-24,2026-09-24,Test lab,Active,Calibration
Data Acquisition Module,DATA ACQUISITION,DTS,5800.0,2024-11-18,2026-11-18,Test Lab,Active,Calibration
Data Acquisition Module,DATA ACQUISITION,DTS,5800.0,2024-11-18,2026-11-18,Test Lab,Active,Calibration
Laser Based Speed Meter,OTHERS,SABO,845.0,2024-11-29,2026-11-29,Test Lab,Active,Calibration
Multimeter,MULTIMETER,Sendi Mahir,259.2,2025-01-06,2027-01-06,Test Lab,Active,Calibration
Resistance Meter (Resistance Transducer),ELECTRICAL TEST,Sendi Mahir,259.2,2025-01-13,2026-01-13,SRS,Active,Calibration
Accelerometer,ACCELEROMETER,Autoliv Sweden AB,500.0,2025-01-17,2027-01-17,Test Lab,Active,Calibration
VC Accelerometer,ACCELEROMETER,Autoliv Sweden AB,500.0,2025-01-17,2027-01-17,Test Lab,Active,Calibration
VC Accelerometer,ACCELEROMETER,Autoliv Sweden AB,500.0,2025-01-17,2027-01-17,Test Lab,Active,Calibration
6 1/2 Digital Precision Multimeter,MULTIMETER,Sendi Mahir,259.2,2025-01-28,2027-01-28,Test Lab,Active,Calibration
Sound Measurement (Mic),OTHERS,First Instrument,2730.0,2025-03-03,2028-03-03,Test Lab,Active,Calibration
Uniaxial Accelerometer,ACCELEROMETER,West Caldwell,1360.0,2025-03-03,2027-03-03,Test Lab,Active,Calibration
Uniaxial Accelerometer,ACCELEROMETER,West Caldwell,1360.0,2025-03-03,2027-03-03,Test Lab,Active,Calibration
Impact Hammer,OTHERS,West Caldwell,6040.0,2025-03-12,2027-03-12,Test Lab,Active,Calibration
Sound Measurement (DA),DATA ACQUISITION,First Instrument,6330.0,2025-05-06,2028-05-06,Test Lab,Active,Calibration
Torque Meter,TORQUE METER,Sendi Mahir,432.0,2025-06-12,2026-06-12,SRS,Active,Calibration
Rack System,DATA ACQUISITION,DTS,1700.0,2025-07-08,2027-07-08,Test Lab,Active,Calibration
Hardness Tester (Type-C),HARDNESS TESTER,Sendi Mahir,149.04,2025-08-01,2026-08-01,SRS,Active,Calibration
Rubber Hardness Tester,HARDNESS TESTER,Sendi Mahir,149.04,2025-08-01,2026-08-01,PDI,Active,Calibration
Dansa Gauge,OTHERS,Sendi Mahir,64.8,2025-08-05,2026-08-05,QA,Active,Calibration
Digital Dansa Gauge,OTHERS,Sendi Mahir,64.8,2025-08-05,2026-08-05,QA,Active,Calibration
